antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len
frozenset({'Backpack'}),frozenset({'T-shirt'}),0.09413054901871187,0.09241700747104115,0.00027416664762731615,0.002912621359223301,0.03151607522171685,1.0,-0.008425097004288184,0.9102341599852266,-0.971365602709684,0.001471850852446952,-0.09861840387997571,0.002939623411379265,1,1
frozenset({'USB Cable'}),frozenset({'Backpack'}),0.0941990906806187,0.09413054901871187,0.0003198610888985355,0.0033955857385398985,0.03607315344421185,1.0,-0.008547151033931527,0.9089558886336946,-0.9672134943521301,0.0017013002794993317,-0.10016339902166126,0.0033968219954835415,1,1
frozenset({'Backpack'}),frozenset({'USB Cable'}),0.09413054901871187,0.0941990906806187,0.0003198610888985355,0.003398058252427185,0.03607315344421185,1.0,-0.008547151033931527,0.9088893683380056,-0.9672110947552965,0.0017013002794993317,-0.10024391838645802,0.0033968219954835415,1,1
frozenset({'Wall Clock'}),frozenset({'Backpack'}),0.09477027119650895,0.09413054901871187,0.0005026388539834129,0.005303760848601735,0.05634473509282751,1.0,-0.00841813880439619,0.9106995837785709,-0.9487212521760738,0.0026679602231384912,-0.09805694195105931,0.005321783336922226,1,1
frozenset({'Backpack'}),frozenset({'Wall Clock'}),0.09413054901871187,0.09477027119650895,0.0005026388539834129,0.005339805825242718,0.05634473509282751,1.0,-0.00841813880439619,0.910089429641382,-0.9486868732028482,0.0026679602231384912,-0.0987931157425343,0.005321783336922226,1,1
frozenset({'White Mug'}),frozenset({'Backpack'}),0.09323950741392309,0.09413054901871187,0.0004340971920765839,0.004655721636853713,0.04946026221442965,1.0,-0.008342588831030253,0.9101066542231996,-0.9549436039201538,0.0023221706184307018,-0.09877232010079826,0.004633686061145303,1,1
frozenset({'Backpack'}),frozenset({'White Mug'}),0.09413054901871187,0.09323950741392309,0.0004340971920765839,0.004611650485436893,0.049460262214429646,1.0,-0.008342588831030253,0.9109615287624084,-0.9549858862390234,0.0023221706184307018,-0.09774119809269582,0.004633686061145303,1,1
frozenset({'Wireless Mouse'}),frozenset({'Backpack'}),0.09054353537892115,0.09413054901871187,0.00034270830953414517,0.003785011355034065,0.040210233494778154,1.0,-0.008180204385778865,0.9093112042144997,-0.9632969154693092,0.0018591968269707486,-0.09973350747815869,0.0037128940270315957,1,1
frozenset({'Backpack'}),frozenset({'Wireless Mouse'}),0.09413054901871187,0.09054353537892115,0.00034270830953414517,0.0036407766990291263,0.040210233494778154,1.0,-0.008180204385778865,0.912779691653799,-0.9634363841591171,0.0018591968269707486,-0.09555461097975668,0.0037128940270315957,1,1
frozenset({'Blue Pen'}),frozenset({'Desk Lamp'}),0.09202860472023579,0.09365075738536408,0.0002970138682629258,0.0032274081429990065,0.034462168092442916,1.0,-0.008321534664905447,0.909283872789976,-0.9686097829146052,0.0016021690904609314,-0.09976656347338234,0.0031994566940903787,1,1
frozenset({'Desk Lamp'}),frozenset({'Blue Pen'}),0.09365075738536408,0.09202860472023579,0.0002970138682629258,0.0031715052451817514,0.034462168092442916,1.0,-0.008321534664905447,0.9108601931599984,-0.9686641063321644,0.0016021690904609314,-0.09786332470052692,0.0031994566940903787,1,1
frozenset({'Blue Pen'}),frozenset({'Headphones'}),0.09202860472023579,0.09257693801549041,0.0004112499714409742,0.004468718967229394,0.048270325882690854,1.0,-0.008108476463396363,0.9114962827116222,-0.9559763608139158,0.002232696601339618,-0.09709717852615597,0.004455484853802259,1,1
frozenset({'Headphones'}),frozenset({'Blue Pen'}),0.09257693801549041,0.09202860472023579,0.0004112499714409742,0.004442250740375123,0.048270325882690854,1.0,-0.008108476463396363,0.9120228293687666,-0.9560017773926487,0.002232696601339618,-0.0964637811666672,0.004455484853802259,1,1
frozenset({'Notebook'}),frozenset({'Blue Pen'}),0.0915945075281592,0.09202860472023579,0.000571180515890242,0.006235969069593415,0.06776120412289825,1.0,-0.007858134211963384,0.9136690069469314,-0.9380609217569239,0.003120319520718922,-0.0944882582167778,0.006221261595372676,1,1
frozenset({'Blue Pen'}),frozenset({'Notebook'}),0.09202860472023579,0.0915945075281592,0.000571180515890242,0.006206554121151937,0.06776120412289825,1.0,-0.007858134211963384,0.9140787718402634,-0.9380886879195033,0.003120319520718922,-0.09399761903096833,0.006221261595372676,1,1
frozenset({'Office Chair'}),frozenset({'Blue Pen'}),0.09259978523612603,0.09202860472023579,0.0003655555301697548,0.003947693066864051,0.04289636987179063,1.0,-0.008156273502504412,0.9115699938243459,-0.9609205937578332,0.001983880967141971,-0.09700846536716307,0.003959943852200646,1,1
frozenset({'Blue Pen'}),frozenset({'Office Chair'}),0.09202860472023579,0.09259978523612603,0.0003655555301697548,0.003972194637537239,0.04289636987179063,1.0,-0.008156273502504412,0.911018959389054,-0.9608969563808849,0.001983880967141971,-0.09767199649787572,0.003959943852200646,1,1
frozenset({'T-shirt'}),frozenset({'Blue Pen'}),0.09241700747104115,0.09202860472023579,0.0004112499714409742,0.004449938195302843,0.048353859203130616,1.0,-0.00809375827853855,0.9120298718417299,-0.9559178691096732,0.00223463687150838,-0.09645531453989054,0.004459328581266119,1,1
frozenset({'Blue Pen'}),frozenset({'T-shirt'}),0.09202860472023579,0.09241700747104115,0.0004112499714409742,0.004468718967229394,0.048353859203130616,1.0,-0.00809375827853855,0.9116569311487897,-0.9558998359879158,0.00223463687150838,-0.09690385257082208,0.004459328581266119,1,1
frozenset({'Blue Pen'}),frozenset({'USB Cable'}),0.09202860472023579,0.0941990906806187,0.0004797916333478032,0.005213505461767626,0.05534560285134786,1.0,-0.008189219247904502,0.9105480565855921,-0.9494905118098226,0.0025830258302583023,-0.0982396730929701,0.005153442034788736,1,1
frozenset({'USB Cable'}),frozenset({'Blue Pen'}),0.0941990906806187,0.09202860472023579,0.0004797916333478032,0.005093378607809847,0.055345602851347854,1.0,-0.008189219247904502,0.9126197130030396,-0.9496051688831472,0.0025830258302583023,-0.09574665739953123,0.005153442034788736,1,1
frozenset({'Wall Clock'}),frozenset({'Blue Pen'}),0.09477027119650895,0.09202860472023579,0.0003655555301697548,0.003857280617164898,0.04191393131397478,1.0,-0.008356020297003315,0.9114872574105668,-0.9619069503158798,0.00196078431372549,-0.0971080416866035,0.003914737627351068,1,1
frozenset({'Blue Pen'}),frozenset({'Wall Clock'}),0.09202860472023579,0.09477027119650895,0.0003655555301697548,0.003972194637537239,0.041913931313974785,1.0,-0.008356020297003315,0.9088398174527572,-0.9617959856993303,0.00196078431372549,-0.10030390482091903,0.003914737627351068,1,1
frozenset({'Blue Pen'}),frozenset({'White Mug'}),0.09202860472023579,0.09323950741392309,0.0004340971920765839,0.0047169811320754715,0.05058994049738087,1.0,-0.00814660458002884,0.911057935678902,-0.9538509238872942,0.002348578491965389,-0.09762503660628372,0.004686351384464592,1,1
frozenset({'White Mug'}),frozenset({'Blue Pen'}),0.09323950741392309,0.09202860472023579,0.0004340971920765839,0.004655721636853713,0.05058994049738087,1.0,-0.00814660458002884,0.9122184303635444,-0.9539096332443379,0.002348578491965389,-0.09622867365382225,0.004686351384464592,1,1
frozenset({'Desk Lamp'}),frozenset({'Headphones'}),0.09365075738536408,0.09257693801549041,0.0002970138682629258,0.0031715052451817514,0.03425804863681147,1.0,-0.008372886493305655,0.9103101152898935,-0.968850306245021,0.001597444089456869,-0.09852673633264444,0.0031898987232818928,1,1
frozenset({'Headphones'}),frozenset({'Desk Lamp'}),0.09257693801549041,0.09365075738536408,0.0002970138682629258,0.0032082922013820336,0.03425804863681147,1.0,-0.008372886493305655,0.9092664350271119,-0.9688145517958174,0.001597444089456869,-0.09978765461652911,0.0031898987232818928,1,1
frozenset({'Notebook'}),frozenset({'Desk Lamp'}),0.0915945075281592,0.09365075738536408,0.00045694441271219356,0.004988775255674731,0.05326999369739627,1.0,-0.008120950589639348,0.9108934854956319,-0.9513719774048475,0.002472799208704253,-0.09782319878584253,0.004934007047207943,1,1
frozenset({'Desk Lamp'}),frozenset({'Notebook'}),0.09365075738536408,0.0915945075281592,0.00045694441271219356,0.004879238838741156,0.05326999369739627,1.0,-0.008120950589639348,0.912859552253512,-0.9514767097686485,0.002472799208704253,-0.09545876748659805,0.004934007047207943,1,1
frozenset({'Office Chair'}),frozenset({'Desk Lamp'}),0.09259978523612603,0.09365075738536408,0.0005940277365258516,0.006415001233654083,0.06849919224098697,1.0,-0.008078012284559406,0.9122010132399104,-0.9374470441944992,0.0031996062023135615,-0.0962496045123316,0.0063790058620087926,1,1
frozenset({'Desk Lamp'}),frozenset({'Office Chair'}),0.09365075738536408,0.09259978523612603,0.0005940277365258516,0.006343010490363503,0.06849919224098697,1.0,-0.008078012284559406,0.9131926050373482,-0.9375149674316564,0.0031996062023135615,-0.09505923994982575,0.0063790058620087926,1,1
frozenset({'T-shirt'}),frozenset({'Desk Lamp'}),0.09241700747104115,0.09365075738536408,0.00045694441271219356,0.004944375772558715,0.052795897338161105,1.0,-0.008197978332239661,0.9108528413357024,-0.9518483983355918,0.0024618414574101425,-0.09787218595439572,0.004911807305649935,1,1
frozenset({'Desk Lamp'}),frozenset({'T-shirt'}),0.09365075738536408,0.09241700747104115,0.00045694441271219356,0.004879238838741156,0.0527958973381611,1.0,-0.008197978332239661,0.9120330194597212,-0.9519107068986681,0.0024618414574101425,-0.09645153044172637,0.004911807305649935,1,1
frozenset({'USB Cable'}),frozenset({'Desk Lamp'}),0.0941990906806187,0.09365075738536408,0.0004797916333478032,0.005093378607809847,0.05438694517814813,1.0,-0.00834202455390473,0.9109892558020829,-0.9504825678555102,0.002560663333739788,-0.0977077870359156,0.0051082896942440306,1,1
frozenset({'Desk Lamp'}),frozenset({'USB Cable'}),0.09365075738536408,0.0941990906806187,0.0004797916333478032,0.0051232007806782135,0.05438694517814813,1.0,-0.00834202455390473,0.9104654064002314,-0.9504540772868102,0.002560663333739788,-0.09833936904178216,0.0051082896942440306,1,1
frozenset({'White Mug'}),frozenset({'Desk Lamp'}),0.09323950741392309,0.09365075738536408,0.0005254860746190226,0.0056358735604018625,0.06017969013545477,1.0,-0.008206464412933143,0.9114862639503029,-0.9451235157347329,0.0028196640921907563,-0.09710923746243437,0.005623499112477096,1,1
frozenset({'Desk Lamp'}),frozenset({'White Mug'}),0.09365075738536408,0.09323950741392309,0.0005254860746190226,0.005611124664552329,0.06017969013545477,1.0,-0.008206464412933143,0.9118771489475784,-0.9451470390727474,0.0028196640921907563,-0.09663895093119353,0.005623499112477096,1,1
frozenset({'Wireless Mouse'}),frozenset({'Desk Lamp'}),0.09054353537892115,0.09365075738536408,0.0003655555301697548,0.0040373454453696694,0.043110654500703845,1.0,-0.008113915134414718,0.9100233211253616,-0.9606390955673805,0.0019885657469550086,-0.09887293741370344,0.003970368258181297,1,1
frozenset({'Desk Lamp'}),frozenset({'Wireless Mouse'}),0.09365075738536408,0.09054353537892115,0.0003655555301697548,0.0039033910709929246,0.04311065450070384,1.0,-0.008113915134414718,0.91302034006412,-0.9607682990153814,0.0019885657469550086,-0.0952658512840705,0.003970368258181297,1,1
frozenset({'Notebook'}),frozenset({'Headphones'}),0.0915945075281592,0.09257693801549041,0.0003655555301697548,0.003991020204539785,0.04311030684415149,1.0,-0.008113983515824008,0.911059117329301,-0.9606831111663771,0.0019888129272840273,-0.09762361297851041,0.003969843764658836,1,1
frozenset({'Headphones'}),frozenset({'Notebook'}),0.09257693801549041,0.0915945075281592,0.0003655555301697548,0.003948667324777887,0.04311030684415149,1.0,-0.008113983515824008,0.9120067035420958,-0.960723961898772,0.0019888129272840273,-0.09648316850759046,0.003969843764658836,1,1
frozenset({'Office Chair'}),frozenset({'Headphones'}),0.09259978523612603,0.09257693801549041,0.0004797916333478032,0.005181347150259067,0.05596801170278606,1.0,-0.00809281294470476,0.912149223765679,-0.9489500413248104,0.0025977238990598714,-0.09631184673012338,0.0051819865070150215,1,1
frozenset({'Headphones'}),frozenset({'Office Chair'}),0.09257693801549041,0.09259978523612603,0.0004797916333478032,0.005182625863770977,0.055968011702786064,1.0,-0.00809281294470476,0.9121274299735096,-0.9489488215695951,0.0025977238990598714,-0.09633804130749843,0.0051819865070150215,1,1
frozenset({'T-shirt'}),frozenset({'Headphones'}),0.09241700747104115,0.09257693801549041,0.00027416664762731615,0.002966625463535229,0.032044972831558105,1.0,-0.008281516924596374,0.9101230562180366,-0.9708301411105265,0.001484230055658627,-0.09875251831927201,0.002964062978559322,1,1
frozenset({'Headphones'}),frozenset({'T-shirt'}),0.09257693801549041,0.09241700747104115,0.00027416664762731615,0.0029615004935834156,0.0320449728315581,1.0,-0.008281516924596374,0.9102787835958767,-0.9708351313901185,0.001484230055658627,-0.09856454750015978,0.002964062978559322,1,1
frozenset({'USB Cable'}),frozenset({'Headphones'}),0.0941990906806187,0.09257693801549041,0.0005026388539834129,0.0053359204462769825,0.05763768559059656,1.0,-0.008218024525071786,0.9122909740458749,-0.947506724066229,0.002698393229486079,-0.09614150358755451,0.005382669008923289,1,1
frozenset({'Headphones'}),frozenset({'USB Cable'}),0.09257693801549041,0.0941990906806187,0.0005026388539834129,0.005429417571569595,0.05763768559059656,1.0,-0.008218024525071786,0.9107457281791893,-0.9474176596708048,0.002698393229486079,-0.0980013071258127,0.005382669008923289,1,1
frozenset({'Wall Clock'}),frozenset({'Headphones'}),0.09477027119650895,0.09257693801549041,0.0005483332952546323,0.005785920925747348,0.06249851258613911,1.0,-0.008225208227015793,0.9127038945469801,-0.9430873949853437,0.0029354207436399216,-0.09564559324724838,0.0058544609564570894,1,1
frozenset({'Headphones'}),frozenset({'Wall Clock'}),0.09257693801549041,0.09477027119650895,0.0005483332952546323,0.005923000987166831,0.06249851258613911,1.0,-0.008225208227015793,0.9106233518152298,-0.9429573641592374,0.0029354207436399216,-0.09814886473821194,0.0058544609564570894,1,1
frozenset({'White Mug'}),frozenset({'Headphones'}),0.09323950741392309,0.09257693801549041,0.0005483332952546323,0.005880911541288901,0.06352458471142002,1.0,-0.008083494803198983,0.9127911057330007,-0.9420552092227721,0.002959674435812061,-0.09554091151772101,0.005901956264227866,1,1
frozenset({'Headphones'}),frozenset({'White Mug'}),0.09257693801549041,0.09323950741392309,0.0005483332952546323,0.005923000987166831,0.06352458471142002,1.0,-0.008083494803198983,0.9121632363353485,-0.9420153240800333,0.002959674435812061,-0.09629500528604854,0.005901956264227866,1,1
frozenset({'Wireless Mouse'}),frozenset({'Headphones'}),0.09054353537892115,0.09257693801549041,0.00038840275080536453,0.004289679535705274,0.046336373049922046,1.0,-0.007993840511672382,0.9113323858704033,-0.9576815406200039,0.0021255313828457117,-0.09729448388351879,0.0042425692841408895,1,1
frozenset({'Headphones'}),frozenset({'Wireless Mouse'}),0.09257693801549041,0.09054353537892115,0.00038840275080536453,0.004195459032576506,0.04633637304992205,1.0,-0.007993840511672382,0.9132881275451329,-0.9577721625958333,0.0021255313828457117,-0.09494470566254229,0.0042425692841408895,1,1
frozenset({'Notebook'}),frozenset({'Office Chair'}),0.0915945075281592,0.09259978523612603,0.0003198610888985355,0.0034921426789723126,0.03771221142756949,1.0,-0.008161770637017736,0.9105800903600428,-0.9656232748413124,0.0017395626242544733,-0.09820103754366151,0.003473187056239179,1,1
frozenset({'Office Chair'}),frozenset({'Notebook'}),0.09259978523612603,0.0915945075281592,0.0003198610888985355,0.003454231433506045,0.03771221142756949,1.0,-0.008161770637017736,0.9115542116831817,-0.9656600111106068,0.0017395626242544733,-0.09702745835983084,0.003473187056239179,1,1
frozenset({'Notebook'}),frozenset({'T-shirt'}),0.0915945075281592,0.09241700747104115,0.0005483332952546323,0.005986530306809678,0.06477736588349883,1.0,-0.00791655699128159,0.9130489879670254,-0.9408046642629313,0.0029887920298879204,-0.0952314861293235,0.005959890616940067,1,1
frozenset({'T-shirt'}),frozenset({'Notebook'}),0.09241700747104115,0.0915945075281592,0.0005483332952546323,0.005933250927070458,0.06477736588349885,1.0,-0.00791655699128159,0.9138274600966416,-0.9408550916369015,0.0029887920298879204,-0.09429847938060999,0.005959890616940067,1,1
frozenset({'Notebook'}),frozenset({'USB Cable'}),0.0915945075281592,0.0941990906806187,0.00045694441271219356,0.004988775255674731,0.052959908844440295,1.0,-0.008171174907779487,0.9103424029735271,-0.9516564211148849,0.002465483234714004,-0.09848777419750725,0.004919806012508722,1,1
frozenset({'USB Cable'}),frozenset({'Notebook'}),0.0941990906806187,0.0915945075281592,0.00045694441271219356,0.004850836769342712,0.052959908844440295,1.0,-0.008171174907779487,0.9128334987719716,-0.9517883493212933,0.002465483234714004,-0.09549003333608247,0.004919806012508722,1,1
frozenset({'Notebook'}),frozenset({'Wall Clock'}),0.0915945075281592,0.09477027119650895,0.00038840275080536453,0.004240458967323522,0.044744611509349864,1.0,-0.008292033567748963,0.9090846650233456,-0.9591864806243564,0.0020884520884520883,-0.10000755537364572,0.004169409811530614,1,1
frozenset({'Wall Clock'}),frozenset({'Notebook'}),0.09477027119650895,0.0915945075281592,0.00038840275080536453,0.004098360655737705,0.044744611509349864,1.0,-0.008292033567748963,0.9121437866795438,-0.9593233598344227,0.0020884520884520883,-0.0963183816010819,0.004169409811530614,1,1
frozenset({'Notebook'}),frozenset({'White Mug'}),0.0915945075281592,0.09323950741392309,0.00038840275080536453,0.004240458967323522,0.045479208169758215,1.0,-0.008151824012941069,0.9106219475895747,-0.9585136199456733,0.0021057847144803667,-0.09815055813997219,0.00420305232120158,1,1
frozenset({'White Mug'}),frozenset({'Notebook'}),0.09323950741392309,0.0915945075281592,0.00038840275080536453,0.004165645675079638,0.04547920816975821,1.0,-0.008151824012941069,0.9122054170220428,-0.9585856348816229,0.0021057847144803667,-0.09624431223459355,0.00420305232120158,1,1
frozenset({'Notebook'}),frozenset({'Wireless Mouse'}),0.0915945075281592,0.09054353537892115,0.00045694441271219356,0.004988775255674731,0.05509808331204323,1.0,-0.007836346120178549,0.9140162864542255,-0.9496947237723492,0.0025150905432595573,-0.09407240857745999,0.0050177285311934095,1,1
frozenset({'Wireless Mouse'}),frozenset({'Notebook'}),0.09054353537892115,0.0915945075281592,0.00045694441271219356,0.005046681806712087,0.05509808331204323,1.0,-0.007836346120178549,0.9130131794739804,-0.9496394545003807,0.0025150905432595573,-0.09527444124753569,0.0050177285311934095,1,1
frozenset({'Office Chair'}),frozenset({'T-shirt'}),0.09259978523612603,0.09241700747104115,0.0004112499714409742,0.0044411547002220575,0.04805559952386137,1.0,-0.008146545072542892,0.9116316898934004,-0.9561994288368465,0.002227722772277228,-0.0969342236412743,0.00444554644776245,1,1
frozenset({'T-shirt'}),frozenset({'Office Chair'}),0.09241700747104115,0.09259978523612603,0.0004112499714409742,0.004449938195302843,0.04805559952386137,1.0,-0.008146545072542892,0.9114561382468016,-0.956190992597222,0.002227722772277228,-0.09714549942415625,0.00444554644776245,1,1
frozenset({'Office Chair'}),frozenset({'USB Cable'}),0.09259978523612603,0.0941990906806187,0.00025131942699170643,0.002714038983469035,0.02881173229867965,1.0,-0.008471496139471946,0.9082659785926404,-0.9737862907909884,0.0013472137170851195,-0.10099907248480411,0.002690999603303763,1,1
frozenset({'USB Cable'}),frozenset({'Office Chair'}),0.0941990906806187,0.09259978523612603,0.00025131942699170643,0.0026679602231384912,0.02881173229867965,1.0,-0.008471496139471946,0.9098275986068708,-0.9738312837687906,0.0013472137170851195,-0.09910932744972936,0.002690999603303763,1,1
frozenset({'Office Chair'}),frozenset({'Wall Clock'}),0.09259978523612603,0.09477027119650895,0.00034270830953414517,0.003700962250185048,0.03905193267317969,1.0,-0.008432998450032004,0.9085923949580359,-0.9644356601189572,0.0018323967749816759,-0.1006035330575112,0.00365858141438857,1,1
frozenset({'Wall Clock'}),frozenset({'Office Chair'}),0.09477027119650895,0.09259978523612603,0.00034270830953414517,0.003616200578592092,0.03905193267317969,1.0,-0.008432998450032004,0.9106934649989232,-0.9645177109647356,0.0018323967749816759,-0.09806431959098606,0.00365858141438857,1,1
frozenset({'Office Chair'}),frozenset({'White Mug'}),0.09259978523612603,0.09323950741392309,0.00045694441271219356,0.004934616333580064,0.05292409269896247,1.0,-0.008177013949339266,0.9112571972356484,-0.9517401570291886,0.002464875523786049,-0.0973850226188151,0.004917687975660407,1,1
frozenset({'White Mug'}),frozenset({'Office Chair'}),0.09323950741392309,0.09259978523612603,0.00045694441271219356,0.00490075961774075,0.05292409269896247,1.0,-0.008177013949339266,0.9118690658585002,-0.9517725396209039,0.002464875523786049,-0.09664867187760864,0.004917687975660407,1,1
frozenset({'Office Chair'}),frozenset({'Wireless Mouse'}),0.09259978523612603,0.09054353537892115,0.00038840275080536453,0.004194423883543055,0.0463249404387575,1.0,-0.007995909179802313,0.9132871781737445,-0.957783644460518,0.002125265658207276,-0.09494584386879373,0.004242051709624164,1,1
frozenset({'Wireless Mouse'}),frozenset({'Office Chair'}),0.09054353537892115,0.09259978523612603,0.00038840275080536453,0.004289679535705274,0.0463249404387575,1.0,-0.007995909179802313,0.9113094402202819,-0.9576920258676203,0.002125265658207276,-0.09732211240814069,0.004242051709624164,1,1
frozenset({'T-shirt'}),frozenset({'USB Cable'}),0.09241700747104115,0.0941990906806187,0.0005026388539834129,0.005438813349814585,0.05773742942227373,1.0,-0.008202959213212608,0.9107543321394226,-0.947317380758831,0.002700712005892462,-0.09799093423023673,0.005387366898045784,1,1
frozenset({'USB Cable'}),frozenset({'T-shirt'}),0.0941990906806187,0.09241700747104115,0.0005026388539834129,0.0053359204462769825,0.05773742942227373,1.0,-0.008202959213212608,0.9124517625449641,-0.9474153860270701,0.002700712005892462,-0.09594834603733014,0.005387366898045784,1,1
frozenset({'T-shirt'}),frozenset({'Wall Clock'}),0.09241700747104115,0.09477027119650895,0.0004797916333478032,0.00519159456118665,0.05478083470312885,1.0,-0.00827859322785256,0.9099538402112628,-0.9500288581660823,0.0025697503671071953,-0.098956843533768,0.00512713768560779,1,1
frozenset({'Wall Clock'}),frozenset({'T-shirt'}),0.09477027119650895,0.09241700747104115,0.0004797916333478032,0.005062680810028929,0.054780834703128854,1.0,-0.00827859322785256,0.9122011759171605,-0.9501519690919096,0.0025697503671071953,-0.09624940901283464,0.00512713768560779,1,1
frozenset({'T-shirt'}),frozenset({'White Mug'}),0.09241700747104115,0.09323950741392309,0.0005254860746190226,0.005686032138442522,0.06098307784060053,1.0,-0.008091430178649703,0.9119458459748089,-0.9443390979133831,0.002838454893249414,-0.09655634094266552,0.005660952849422193,1,1
frozenset({'White Mug'}),frozenset({'T-shirt'}),0.09323950741392309,0.09241700747104115,0.0005254860746190226,0.0056358735604018625,0.06098307784060052,1.0,-0.008091430178649703,0.9127270065329427,-0.9443867354885057,0.002838454893249414,-0.09561784941432813,0.005660952849422193,1,1
frozenset({'T-shirt'}),frozenset({'Wireless Mouse'}),0.09241700747104115,0.09054353537892115,0.0004797916333478032,0.00519159456118665,0.05733810304026709,1.0,-0.007887970952220432,0.9142026340438032,-0.94768368788722,0.0026292725679228743,-0.0938493970168171,0.00524530522911717,1,1
frozenset({'Wireless Mouse'}),frozenset({'T-shirt'}),0.09054353537892115,0.09241700747104115,0.0004797916333478032,0.005299015897047691,0.0573381030402671,1.0,-0.007887970952220432,0.912417909536343,-0.9475813551695128,0.0026292725679228743,-0.09598900848862449,0.00524530522911717,1,1
frozenset({'Wall Clock'}),frozenset({'USB Cable'}),0.09477027119650895,0.0941990906806187,0.00034270830953414517,0.003616200578592092,0.03838891174494234,1.0,-0.008584565060732628,0.9090883551552852,-0.9651223264059403,0.001816860465116279,-0.10000309027078652,0.0036271640777995632,1,1
frozenset({'USB Cable'}),frozenset({'Wall Clock'}),0.0941990906806187,0.09477027119650895,0.00034270830953414517,0.003638127577007034,0.03838891174494235,1.0,-0.008584565060732628,0.9085350953887034,-0.9651010873655889,0.001816860465116279,-0.1006729460155468,0.0036271640777995632,1,1
frozenset({'White Mug'}),frozenset({'USB Cable'}),0.09323950741392309,0.0941990906806187,0.00025131942699170643,0.0026954177897574125,0.02861405317484652,1.0,-0.008531757386908655,0.9082490198851094,-0.9739844987257072,0.001342609544733309,-0.10101963019623941,0.0026816890064479517,1,1
frozenset({'USB Cable'}),frozenset({'White Mug'}),0.0941990906806187,0.09323950741392309,0.00025131942699170643,0.0026679602231384912,0.028614053174846516,1.0,-0.008531757386908655,0.9091861651100184,-0.9740113142490053,0.001342609544733309,-0.09988475229271948,0.0026816890064479517,1,1
